Twitter,Date,Content
MorganStanley,2020-09-30,How will markets react if final U.S. election results take days or weeks? Head of U.S. Public Policy Research Michael Zezas shares advice for investors. https://t.co/H8Exyh4kbi
MorganStanley,2020-09-30,"“For our part, Morgan Stanley wants to positively impact women within our four walls but also in our communities – and I know you will hear a lot more about that today,” said Head of Wealth Management Andy Saperstein as he opened our #MSWomenWithoutLimits summit. https://t.co/JKxPqW4qHN"
MorganStanley,2020-09-30,"Now at our #MSWomenWithoutLimits summit, @CarlaAnnHarris interviews @CathyEngelbert about her path from the C-suite to the courtside. 
https://t.co/bAzzNoRbRC https://t.co/vRJVDeUvUd"
MorganStanley,2020-09-30,"This week, our #MSWomenWithoutLimits summit brings together leaders and industry professionals to discuss new ways of empowering women throughout their careers, communities and personal lives. 
https://t.co/OoMteoFBqE https://t.co/LVHC8un6vN"
MorganStanley,2020-09-29,"We're deeply proud to have been named a Top Companies Leader for Women Technologists by https://t.co/y0Jwzuco6Y for the second year in a row. We celebrate #WomeninTech at #GHC2020 this week, and all year round. To learn more, visit: https://t.co/lXapVWDRGN"
MorganStanley,2020-09-29,"""Small businesses are the largest generators of jobs in the economy, which is why it’s essential that we are creative to make sure that they can thrive,"" says Vice Chair @CarlaAnnHarris at the @Forbes Small Business Summit. Watch it here:  https://t.co/kKckELZveJ"
MorganStanley,2020-09-29,"As Chairman &amp; CEO of Morgan Stanley Private Bank N.A. and Morgan Stanley Bank N.A., Shelley O’Connor delivers lending and cash management solutions for our clients. We congratulate her for being named to @AmerBanker’s 2020 Most Powerful Women in Finance.
https://t.co/Ul8vf1wmx0"
MorganStanley,2020-09-29,"Wealth Management Chief Investment Officer Lisa Shalett expects volatility to remain high for the next two to three months as the fragile U.S. economy absorbs some recent disappointments. Learn more:
https://t.co/KRMCQl7w7K"
MorganStanley,2020-09-29,Many positive trends continued through what amounted to a benign August for markets. How long will these trends last and what does this mean for fixed income investors? Our Global Fixed Income team explores. https://t.co/cQiiDFVOpC https://t.co/5ppWrghpxb
MorganStanley,2020-09-29,The relationship between politics and financial markets is on Andrew Slimmon’s mind this week. The Head of our Applied Equity Advisors Team explores on his latest market alert: https://t.co/pbic2K9YtK https://t.co/FtUY5mPR2M
